site1_01	site1
site1_02	site1
site1_03	site1
site1_04	site1
site1_05	site1
site1_06	site1
site1_07	site1
site1_08	site1
site2_01	site2
site2_02	site2
site2_03	site2
site2_04	site2
site2_05	site2
site2_06	site2
site2_07	site2
site2_08	site2
site3_01	site3
site3_02	site3
site3_03	site3
site3_04	site3
site3_05	site3
site3_06	site3
site3_07	site3
site3_08	site3
site4_01	site4
site4_02	site4
site4_03	site4
site4_04	site4
site4_05	site4
site4_06	site4
site4_07	site4
site4_08	site4
site5_01	site5
site5_02	site5
site5_03	site5
site5_04	site5
site5_05	site5
site5_06	site5
site5_07	site5
site5_08	site5
site6_01	site6
site6_02	site6
site6_03	site6
site6_04	site6
site6_05	site6
site6_06	site6
site6_07	site6
site6_08	site6
